source,target,score_1,score_2,editor_1,editor_2,partition,agreement,score_3,source_pos,target_pos,source_lemma,target_lemma,source_sentence,target_sentence,source_cefr,target_cefr,source_ipm,target_ipm,target_sentence_level,target_level_comparison
худощавую,худую,1,1,E13,E17,e&a,1,1,ADJ,ADJ,худощавый,худой,"Старцеву представили Екатерину Ивановну, восемнадцатилетнюю девушку, очень похожую на мать, такую же худощавую и миловидную. ","Старцеву представили Екатерину Ивановну, восемнадцатилетнюю девушку, очень похожую на мать, такую же худую и милую. ",c1,b1,4.8,34.6,b1,Word level equal to target CEFR
низверглось,упало,1,1,E13,E17,e&a,1,1,VERB,VERB,низвергнуться,падать,"То, что, крутясь, низверглось с высоты и тяжестью раздробленных костей и мяса вдавилось в землю, уже не было ни он, ни человек никто. ","То, что, крутясь, упало с высоты, уже не было ни он, ни человек — никто. ",,a2,,84.2,b1_c1,Word level lower than target CEFR range
прочти,читай,1,1,E13,E17,e&a,1,1,VERB,VERB,прочти,читать,"Так ты, говорит, Настенька, смотри, их не прочти. ","Так ты, — говорит, — Настенька, смотри, их не читай. ",,a1,,304.4,b1,Word level lower than target CEFR
ложась,ложится,1,1,E13,E17,e&a,1,1,VERB,VERB,ложиться,ложиться,Маша (ложась). ,Маша (ложится). ,b1,b1,39.5,39.5,b2,Word level lower than target CEFR
столь,таком,1,1,E13,E17,e&a,1,1,ADV,DET,столь,такой,Никогда еще Варя не оказывалась в столь изысканном обществе. ,Варя никогда ещё не была в таком высоком обществе. ,,a2,143.9,2696.8,b1,Word level lower than target CEFR
вступил,начал,1,1,E13,E17,e&a,1,1,VERB,VERB,вступить,начать,"– заговорила Кити, поспевая за ним, но он безжалостно, не дожидаясь ее, ушел большими шагами в столовую и тотчас же вступил в общий оживленный разговор, который поддерживали там Васенька Весловский и Степан Аркадьич","— заговорила Кити и по бежала за ним, но он, не дожидаясь её, ушёл большими шагами в столовую и тотчас же начал разговор с Васенькой Весловским и Степаном Аркадьичем",,,53.1,473.3,b1,No word level
глядя,посмотрел,1,1,E13,E17,e&a,1,1,VERB,VERB,глядеть,смотреть,"«Как все это глупо и беспокойно, – думал он, проснувшись и глядя на темные окна: был уже вечер. – Вот и выспался зачем - то. ","«Как всё это глупо, — думал он, когда проснулся и посмотрел на тёмные окна: был уже вечер. — Зачем я так долго спал? ",b2,a1,199.3,667.2,b1,Word level lower than target CEFR
памятна,помню,1,1,E13,E17,e&a,1,1,ADJ,VERB,памятный,помнить,"Да - с, памятна мне и княгиня! ","Да - с, помню я и княгиню! ",,a2,13.4,363.1,b1,Word level lower than target CEFR
уютно,симпатично,1,1,E13,E17,e&a,1,1,ADJ,ADJ,уютный,симпатичный,"В клубе было неряшливо, но по - своему уютно: деревянные столы, холщовые стулья, стойка с шеренгами бутылок. ","В этом «клубе» журналистов было не очень чисто, но симпатично: деревянные столы, лёгкие удобные стулья и высокий стол, на котором стояли бутылки. ",b2,a2,21.3,27.6,b1,Word level lower than target CEFR
позабыла,забыла,1,1,E13,E17,e&a,1,1,VERB,VERB,позабыть,забыть,"Я тотчас же вскочила, вся, не знаю отчего, покраснела, да и позабыла, что сижу пришпиленная; нет, чтоб тихонько отшпилить, чтобы жилец не видал, — рванулась так, что бабушкино кресло поехало. ","Я тотчас же встала, вся, не знаю почему, покраснела, да и забыла, что сижу пристёгнутая, нет, чтоб тихонько отстегнуть, чтоб жилец не видел, — встала так, что бабушкино кресло поехало.",,,14.3,226,b1,No word level
утопленников,покойников,1,1,E13,E17,e&a,1,1,NOUN,NOUN,утопленник,покойник,Я ужасно боюсь утопленников!,Я ужасно боюсь покойников!,,c1,1.8,16,b1,Word level higher than target CEFR
следующую,Ещё,1,1,E13,E17,e&a,1,1,ADJ,ADV,следующий,еще,Однако в следующую секунду руки полковника разжались сами собой. ,"Ещё секунда, и полковник упал. ",a1,a1,301.4,2323.9,b1,Word level lower than target CEFR
окошко,окно,1,1,E13,E17,e&a,1,1,NOUN,NOUN,окошко,окно,"Ваня побледнел и сказал: — Нет, я косточку бросил за окошко.","Ваня испугался и сказал: «Нет, я косточку бросил за окно».",,a1,25.7,280.8,a2_b1,Word level lower than target CEFR range
преступления,убийства,1,1,E13,E17,e&a,1,1,NOUN,NOUN,преступление,убийство,"Ехать на место преступления было невозможно: дождь, начавшийся ночью, всё еще лил, как из ведра. ","Ехать на место убийства было нельзя: дождь, который начался ночью, продолжался. ",b2,b2,84.6,65.1,b1,Word level higher than target CEFR
поношенной,старой,1,1,E13,E17,e&a,1,1,VERB,ADJ,поносить,старый,"Я подошел к окну и взглянул в него. На извозчике, затылком к нам, сидела маленькая, согбенная фигурка в поношенной шляпе и с полинявшим воротником. ",На извозчике сидела маленькая фигурка в старой шляпе и старой одежде,,a1,4.6,368.5,b1,Word level lower than target CEFR
припоминаешь,вспоминаешь,1,1,E13,E17,e&a,1,1,VERB,VERB,припоминать,вспоминать,"И припоминаешь, что и тогда мечты были грустны, и хоть и прежде было не лучше, но все как - то чувствуешь, что как будто и легче, и покойнее было жить, что не было этой черной думы, которая теперь привязалась ко мне; что не было этих угрызений совести, угрызений мрачных, угрюмых, которые ни днем, ни ночью теперь не дают покоя. ","И вспоминаешь, что и тогда мечты были грустны, и хоть и раньше было не лучше, но чувствуешь, что как будто и легче и спокойнее было жить, что не было этой чёрной мысли, которая теперь появилась во мне. ",,a1,6.4,135.9,b1,Word level lower than target CEFR
страдальческое,страдающее,1,1,E13,E17,e&a,1,1,ADJ,VERB,страдальческий,страдать,"Степан Аркадьич мог быть спокоен, когда он думал о жене, мог надеяться, что всё образуется, по выражению Матвея, и мог спокойно читать газету и пить кофе; но когда он увидал ее измученное, страдальческое лицо, услыхал этот звук голоса, покорный судьбе и отчаянный, ему захватило дыхание, что - то подступило к горлу, и глаза его заблестели слезами","Степан Аркадьич мог быть спокоен, когда думал о жене, мог спокойно читать газету и пить кофе; но когда он увидел её измученное, страдающее лицо, услышал этот звук голоса, у него на глазах появились слёзы",,b1,2,59.8,b1,Word level equal to target CEFR
восторге,радостно,1,1,E13,E17,e&a,1,1,NOUN,ADV,восторг,радостно,"говорите, скажите, скажите все заране; я на все согласен, на все готов, — вскричал я в восторге, — я отвечаю за себя — буду послушен, почтителен. вы меня знаете","говорите, скажите, скажите всё заранее; я на всё согласен, на всё готов, — закричал я радостно, — я отвечаю за себя — буду послушен, уважителен. вы меня знаете",c1,b2,56.2,40.3,b1,Word level higher than target CEFR
воззвание,объявление,1,1,E13,E17,e&a,1,1,NOUN,NOUN,воззвание,объявление,Но вот стало появляться в газетах странное воззвание: «Люди! ,Но вот стало появляться в газетах странное объявление: «Люди! ,,a2,2,29.8,b1_c1,Word level lower than target CEFR range
поправил,улучшал,1,1,E13,E17,e&a,1,1,VERB,VERB,поправить,улучшать," - Не знаю; я там только здоровье поправил; не знаю, научился ли я глядеть. ","— Взглянуть не умею. — Я там только здоровье улучшал; не знаю, научился ли яглядеть. ",,b1,25.3,9,b1,Word level equal to target CEFR
юноши,молодые,1,1,E13,E17,e&a,1,1,NOUN,ADJ,юноша,молодой,"Мало того, что юноши, танцующие на московских балах, почти все были влюблены в Кити, уже в первую зиму представились две серьезные партии: Левин и, тотчас же после его отъезда, граф Вронский.","Мало того, что молодые люди, танцующие на московских балах, почти все были влюблены в Кити, появились две серьёзные партии: Левин и, тотчас же после его отъезда, граф Вронский. ",a2,a1,42.1,400,b1,Word level lower than target CEFR
равнодушии,равнодушен,1,1,E13,E17,e&a,1,1,NOUN,ADJ,равнодушие,равнодушный,"Главные качества Степана Аркадьича, заслужившие ему это общее уважение по службе, состояли, во - первых, в чрезвычайной снисходительности к людям, основанной в нем на сознании своих недостатков; во - вторых, в совершенной либеральности, не той, про которую он вычитал в газетах, но той, что у него была в крови и с которою он совершенно равно и одинаково относился ко всем людям, какого бы состояния и звания они ни были, и в - третьих — главное — в совершенном равнодушии к тому делу, которым он занимался, вследствие чего он никогда не увлекался и не делал ошибок.","Он был равнодушен к делу, которым он занимался, никогда не увлекался и не делал ошибок. ",c1,b2,12.2,20.4,b1,Word level higher than target CEFR
эдакую,такую,1,1,E13,E17,e&a,1,1,ADJ,DET,эдакий,такой,"Может, оттого, что в эдакую минуту встретил, да вот ведь и его встретил (он указал на Лебедева), а ведь не полюбил же его. ","Может, оттого, что в такую минуту встретил, да вот ведь и его встретил (он указал на Лебедева), а ведь не полюбил же его. ",,a2,8.4,2696.8,b1,Word level lower than target CEFR
отыскивал,искал,1,1,E13,E17,e&a,1,1,VERB,VERB,отыскивать,искать,"Неторопливо передвигая ногами, Алексей Александрович с обычным видом усталости и достоинства поклонился этим господам, говорившим о нем, и, глядя в дверь, отыскивал глазами графиню Лидию Ивановну","Неторопливо передвигая ногами, Алексей Александрович с обычным видом усталости и достоинства поклонился господам, говорившим о нём, и искал глазами графиню Лидию Ивановну. ",c1,a2,5.6,206.9,b1,Word level lower than target CEFR
могли,смогли,1,1,E13,E17,e&a,1,1,VERB,VERB,мочь,мочь,"Только в три часа они настолько примирились, что могли заснуть.","Только в три часа ночи они настолько примирились, что смогли заснуть. ",a1,a1,0.8,0.8,b1,Word level lower than target CEFR
пытливо,любопытством,1,1,E13,E17,e&a,1,1,ADV,NOUN,пытливо,любопытство,"Нина Александровна укорительно глянула на генерала и пытливо на князя, но не сказала ни слова. ","Нина Александровна укорительно глянула на генерала и с любопытством на князя, но не сказала ни слова. ",,b2,1.5,34.3,b1,Word level higher than target CEFR
разузнать,узнать,1,1,E13,E17,e&a,1,1,VERB,VERB,разузнать,узнать,"И потому, чтоб поправить ошибку, я решила разузнать об вас самым подробнейшим образом. ","И потому, чтоб исправить ошибку, я решила узнать о вас побольше. ",,,3,238.1,b1,No word level
подхватил,взял,1,1,E13,E17,e&a,1,1,VERB,VERB,подхватить,брать,"Князь видел, что подле нее вдруг очутился Рогожин, подхватил ее под руку и повел","Князь видел, что около неё вдруг оказался Рогожин, взял её под руку и повёл",,a1,32.5,226.3,b1,Word level lower than target CEFR
гусар,офицер,1,1,E13,E17,e&a,1,1,NOUN,NOUN,гусар,офицер,"Дрожки остановились перед трехэтажным домом, у самого подъезда, и гусар вбежал на крыльцо. ","Карета остановилась перед трёхэтажным домом, и офицер вбежал в дом. ",,b1,5.1,118.7,a2,Word level higher than target CEFR
миновала,проехала,1,1,E13,E17,e&a,1,1,VERB,VERB,миновать,проездовать,"Но красный мешочек, который она стала снимать с руки, задержал ее, и было уже поздно: середина миновала ее. ","Но красная сумочка, которую она стала снимать с руки, задержала её, и было уже поздно: середина проехала. ",c1,,28,,b1,No word level
тяготится,тяжело,1,1,E13,E17,e&a,1,1,VERB,ADJ,тяготиться,тяжелый,"Теперь Анна уже признавалась себе, что он тяготится ею, что он с сожалением бросает свою свободу, чтобы вернуться к ней, и, несмотря на то, она рада была, что он приедет. ","Теперь Анна уже признавалась себе, что ему тяжело с ней, что он с сожалением бросает свою свободу, чтобы вернуться к ней, и, несмотря на то, она рада была, что он приедет. ",,a2,2.4,180.3,b1,Word level lower than target CEFR
горевала,плакала,1,1,E13,E17,e&a,1,1,VERB,VERB,горевать,плакать,"Правда, и она была из числа обыкновенных людей, мечтающих об оригинальности, но зато она очень скоро успела сознать, что в ней нет ни капли особенной оригинальности, и горевала об этом не слишком много, - кто знает, может быть, из особого рода гордости. ","Правда, и она была из числа «обыкновенных» людей, мечтающих об оригинальности, но зато она очень скоро успела понять, что в ней нет ни капли особенной оригинальности, и плакала об этом не слишком много, — кто знает, может быть, из особого рода гордости. ",c1,a2,7.2,103.9,b1,Word level lower than target CEFR
прищурив,прикрыв,1,1,E13,E17,e&a,1,1,VERB,VERB,прищурить,прикрыть,"— сказал Манилов, опять несколько прищурив глаза","— сказал Манилов, опять несколько прикрыв глаза",,,3.7,35.5,b1_c1,No word level
увидав,увидеть,1,1,E13,E17,e&a,1,1,VERB,VERB,видать,видеть,"Но в действительности, увидав ее в среде этих чуждых для нее людей, с их новым для Дарьи Александровны хорошим тоном, ей было неловко. ","Но увидеть её в среде этих чужих для неё людей, с их новым для Дарьи Александровны светским тоном, ей было неприятно. ",c1,a1,11.2,818.2,b1,Word level lower than target CEFR
поважнее,важнее,1,1,E13,E17,e&a,1,1,ADJ,ADJ,важный,важный,"Еще как жаль, но есть ценности поважнее сантиментов","Очень жалко, но мои ценности важнее чувств",a2,a2,277,277,b1,Word level lower than target CEFR
поразило,взволновало,1,1,E13,E17,e&a,1,1,VERB,VERB,поразить,взволновать,"Происшествие в воксале поразило и мамашу, и дочек почти ужасом. ","II Происшествие на вокзале взволновало и генеральшу Епанчину, и её дочек. ",,b2,49.9,13,b1,Word level higher than target CEFR
намерен,хочу,1,1,E13,E17,e&a,1,1,ADJ,VERB,намерен,хотеть,"Обстоятельства некогда сблизили нас, и об нем - то намерен я теперь побеседовать с любезными читателями.","Один случай некогда сблизил нас, и о нём - то хочу я теперь поговорить с дорогими читателями.",b2,a1,35.7,991.3,a2,Word level lower than target CEFR
застал,встретил,1,1,E13,E17,e&a,1,1,VERB,VERB,застать,встретить,Левин застал жену грустною и скучающею. ,"Левин встретил жену грустной и скучающей. — Ну, что делал? ",,,25.4,113.5,b1,No word level
вождями,начальниками,1,1,E13,E17,e&a,1,1,NOUN,NOUN,вождь,начальник,"Государственный механизм он изучал, с вождями знакомился! ","Государственную систему он изучил, с начальниками познакомился! ",c1,b2,42.2,198.9,b1,Word level higher than target CEFR
прожиты,кончились,1,1,E13,E17,e&a,1,1,VERB,VERB,прожить,кончиться,"Деньги за две трети леса были уже прожиты, и, за вычетом десяти процентов, он забрал у купца почти все вперед за последнюю треть. ","Деньги за две трети леса, который принадлежал жене и который он продал, уже кончились, и он забрал у купца почти всё вперёд за последнюю треть. ",,,64.2,82,b1,No word level
прохрипел,пробормотал,1,1,E13,E17,e&a,1,1,VERB,VERB,прохрипеть,бормотать, - пьяным голоском прохрипел Лебедев,— пьяным голоском пробормотал Лебедев,,c1,4.6,26.3,b1,Word level higher than target CEFR
трогается,отходит,1,1,E13,E17,e&a,1,1,VERB,VERB,трогаться,отходить,"Провожая их на вокзале, Иван Петрович, когда трогается поезд, утирает слезы и кричит: — Прощайте пожалуйста!","Иван Петрович провожает их на вокзале и, когда отходит поезд, на глазах у него появляются слёзы, и он кричит: — Прощайте пожалуйста! ",b2,b1,3,22.8,b1,Word level equal to target CEFR
приостановились,остановились,1,1,E13,E17,e&a,1,1,VERB,VERB,приостановиться,остановиться,"Бабы приостановились на мосту, любопытно оглядывая коляску. ","Бабы остановились на мосту, любопытно оглядывая коляску. ",,,3.1,147,b1,No word level
щедро,хорошо,1,1,E13,E17,e&a,1,1,ADV,ADV,щедро,хорошо,"Он простился с смотрителем, щедро наградив его за постой и угощение; простился и с Дунею и вызвался довезти ее до церкви, которая находилась на краю деревни. ","Офицер простился со смотрителем, хорошо заплатил ему за гостеприимство; простился он и с Дуней и предложил довезти её до церкви, которая находилась на краю деревни. ",b2,a1,11.6,485.7,a2,Word level lower than target CEFR
шляться,погулять,1,1,E13,E17,e&a,1,1,VERB,VERB,шляться,погулять,"— Давайте шляться по ярмарке, — предложил я.",Сергей предложил погулять по ярмарке. ,c1,b1,5.1,13.5,b1,Word level equal to target CEFR
редкостная,редкая,1,1,E13,E17,e&a,1,1,ADJ,ADJ,редкостный,редкий,Это редкостная женщина. ,Это редкая женщина. ,,b1,4.8,90.2,b1,Word level equal to target CEFR
уходя,уходил,1,1,E13,E17,e&a,1,1,VERB,VERB,уходить,уходить,"«Пора и мне на север, – думал Гуров, уходя с платформы. – Пора!»","«Пора и мне на север, — думал Гуров, когда уходил с вокзала. — Пора!» ",a2,a2,192.7,192.7,b1,Word level lower than target CEFR
ватага,толпа,1,1,E13,E17,e&a,1,1,NOUN,NOUN,ватага,толпа,Скоро шумная ватага удалилась по направлению к Вознесенскому проспекту. ,Скоро шумная толпа удалилась по направлению к Вознесенскому проспекту. ,,b2,2.3,96.7,b1,Word level higher than target CEFR
плохенькая,плохая,1,1,E13,E17,e&a,1,1,ADJ,ADJ,плохенький,плохой,Гостиница была плохенькая. ,Гостиница была плохая. ,,a1,,221.6,b1,Word level lower than target CEFR
похвально,хорошо,1,1,E13,E17,e&a,1,1,ADJ,ADJ,похвальный,хороший,"Все это похвально, но позвольте однако же, как же этот приятель, который вам такие страсти рассказывал. ведь ему переменили же наказание, стало быть, подарили же эту бесконечную жизнь . ","Всё это хорошо, но как же этот приятель, который вам такие страсти рассказывал. ведь ему переменили же наказание, стало быть, подарили же эту «бесконечную жизнь». ",,a1,2.7,471.4,b1,Word level lower than target CEFR
цуцики,щенята,1,1,E13,E17,e&a,1,1,NOUN,ADJ,цуцик,щенятый,"Я вошел в младший класс и сказал: «Здравствуйте, цуцики!» ","Я вошёл в младший класс и сказал: — Здравствуйте, щенята!",,,,,b1,No word level
усмехнулась,улыбнулась,1,1,E13,E17,e&a,1,1,VERB,VERB,усмехнуться,улыбнуться,"С одной из моих воспитанниц вы, кажется, знакомы. — Миледи лукаво усмехнулась. — Сейчас, правда, она ведет себя неразумно и на время забыла о долге. ","С одной из них вы, кажется, знакомы. – леди Эстер улыбнулась. — Сейчас, правда, она ведёт себя плохо. ",,,55,119,b1,No word level
изголовье,голову,1,1,E13,E17,e,1,1,NOUN,NOUN,изголовье,голова,"Когда старик опять встал, помолился и лег тут же под кустом, положив себе под изголовье травы, Левин сделал то же и, несмотря на липких, упорных на солнце мух и козявок, щекотавших его потное лицо и тело, заснул тотчас же и проснулся, только когда солнце зашло на другую сторону куста и стало доставать его. ","Когда старик встал, помолился и лёг тут же под кустом, положив себе под голову травы, Левин сделал то же и, несмотря на мух, заснул тотчас же. ",,a1,4.9,709.4,b1,Word level lower than target CEFR
усаживая,посадил,1,1,E13,E17,e&a,1,1,VERB,VERB,усаживать,сажать,"Сядьте здесь, Настенька, — сказал я, усаживая ее на скамейку","Сядьте здесь, Настенька, — сказал я и посадил её на скамейку",,b2,2.9,21.3,b1,Word level higher than target CEFR
удостоверены,уверены,1,1,E13,E17,e&a,1,1,VERB,ADJ,удостоверить,уверенный," - О, нет, в этом будьте совершенно удостоверены. ","— О, нет, в этом будьте совершенно уверены. ",,a2,2.5,112.5,b1,Word level lower than target CEFR
переминалась,стояла,1,1,E13,E17,e&a,1,1,VERB,VERB,переминаться,стоять,"А какая - то плюгавая фигура в цилиндре, с давно не бритой рожей, долго переминалась около меня с ноги на ногу, потом повернулась ко мне со словами: — Знаете, кто эта дама, что идет по тому берегу? ","А какая - то небритая фигура в цилиндре долго стояла около меня, потом повернулась ко мне со словами: — Знаете, кто эта дама, что идёт по тому берегу? ",,a1,3.3,419.3,b1_c1,Word level lower than target CEFR range
надписав,написав,1,1,E13,E17,e&a,1,1,VERB,VERB,надписать,писать,"– сказал Германн, надписав мелом куш над своей картою","— сказал Германн, написав сумму денег над своею картою",,a1,1.7,444.3,b1,Word level lower than target CEFR
прекрасно,приятно,1,1,E13,E17,e,1,1,ADJ,ADJ,прекрасный,приятный,"— Это прекрасно, как физическое упражнение, только едва ли ты можешь это выдержать, — без всякой насмешки сказал Сергей Иванович","— Да, это очень приятно, — сказал Левин. — Это прекрасно как физическое упражнение, только тебе это будет тяжело, — без всякой насмешки сказал Сергей Иванович",a2,a2,148.4,72.7,b1,Word level lower than target CEFR
следовал,следил,1,1,E13,E17,e&a,1,1,VERB,VERB,следовать,следить,"Так, например, будучи в душе игрок, никогда не брал он карты в руки, ибо рассчитал, что его состояние не позволяло ему (как сказывал он) жертвовать необходимым в надежде приобрести излишнее, – а между тем целые ночи просиживал за карточными столами и следовал с лихорадочным трепетом за различными оборотами игры.","Так, например, он был в душе игроком, но никогда не брал карты в руки, потомучто рассчитал, что его капитал не позволял ему (как он говорил) жертвовать необходимым в надежде получить излишнее, — и однако целые ночи сидел за карточными столами и следил с горячим трепетом за игрой.",c1,b2,305.1,75.8,b1,Word level higher than target CEFR
краснела,покраснела,1,1,E13,E17,e&a,1,1,VERB,VERB,краснеть,краснеть,"Правдивые глаза сказали Левину, что она была довольна собою, и он, несмотря на то, что она краснела, тотчас же успокоился и стал расспрашивать ее, чего только она и хотела. ","Правдивые глаза сказали Левину, что она была довольна собой, и он, несмотря на то, что она покраснела, тотчас же успокоился и сказал, что он очень рад и теперь при первой встрече с Вронским будет как можно дружелюбнее с ним. ",b2,b2,12.5,12.5,b1,Word level higher than target CEFR
выходить,выйти,1,1,E13,E17,e&a,1,1,VERB,VERB,выходить,выйти,Она опять хотела выходить,Она опустила бинокль и опять хотела выйти,a2,,201.6,480.9,b1,No word level
больно,неприятно,1,1,E13,E17,e&a,1,1,ADV,ADJ,больно,неприятный,"Кити, как всегда, больно было на два дня расставаться с мужем, но, увидав его оживленную фигуру, казавшуюся особенно большою и сильною в охотничьих сапогах и белой блузе, и какое - то непонятное ей сияние охотничьего возбуждения, она из - за его радости забыла свое огорчение и весело простилась с ним","Кити, как всегда, неприятно было на два дня расставаться с мужем, но, увидав его оживлённую фигуру, она из - за его радости забыла всё и весело простилась с ним",a2,b2,55.6,46.5,b1,Word level higher than target CEFR
Кити,Она,1,1,E13,E17,e,1,1,PROPN,PRON,Кити,она,Кити посмотрела на него и ужаснулась. ,"Она посмотрела на него только тогда, когда он подошёл к ней. ",,a1,,5592.4,b1,Word level lower than target CEFR
признаться,сказать,1,1,E13,E17,e&a,1,1,VERB,VERB,признаться,сказать,"– Проиграл, по обыкновению. – Надобно признаться, что я несчастлив: играю мирандолем, никогда не горячусь, ничем меня с толку не собьёшь, а всё проигрываюсь!","Надо сказать, что я несчастлив:играю, не рискуя, никогда не горячусь, ничем меня с толку не собьёшь, а всё время проигрываю!",,a1,55.1,2396.6,b1,Word level lower than target CEFR
кинулась,побежала,1,1,E13,E17,e&a,1,1,VERB,VERB,кидаться,побежать,"— ахнула она и, сразу забыв о Фандорине, кинулась навстречу тому, ради кого преодолела путь в полторы тысячи верст.","— Варя сразу забыла о Фандорине и побежала к тому, для кого приехала на фронт. ",,b1,8.7,59.6,b1,Word level equal to target CEFR
нескладная,неудачная,1,1,E13,E17,e&a,1,1,ADJ,ADJ,нескладный,неудачный,"Прежде (это началось почти с детства и все росло до полной возмужалости), когда он старался сделать что - нибудь такое, что сделало бы добро для всех, для человечества, для России, для всей деревни, он замечал, что мысли об этом были приятны, но сама деятельность всегда бывала нескладная, не было полной уверенности в том, что дело необходимо нужно, и сама деятельность, казавшаяся сначала столь большою, все уменьшаясь и уменьшаясь, сходила на нет; теперь же, когда он после женитьбы стал более и более ограничиваться жизнью для себя, он, хотя не испытывал более никакой радости при мысли о своей деятельности, чувствовал уверенность, что дело его необходимо, видел, что оно спорится гораздо лучше, чем прежде, и что оно все становится больше и больше.","Раньше, когда он хотел сделать что - нибудь такое, что сделало бы добро для всех, для человечества, для России, для всей деревни, он замечал, что мысли об этом были приятны, но сама деятельность всегда бывала неудачная; теперь же, когда он после женитьбы стал больше и больше жить для себя, он, хотя и не испытывал больше никакой радости при мысли о своей деятельности, но чувствовал уверенность, что дело его необ ходимо, видел, что оно идёт намного лучше, чем раньше. ",c1,b2,2.9,16,b1,Word level higher than target CEFR
девушкой,горничной,1,1,E13,E17,e&a,1,1,NOUN,ADJ,девушка,горничный,"Она вечером слышала остановившийся стук его коляски, его звонок, его шаги и разговор с девушкой: он поверил тому, что ему сказали, не хотел больше ничего узнавать и пошел к себе. ","Она вечером слышала стук его коляски, звонок, его шаги и разговор с горничной: он поверил тому, что ему сказали, не хотел больше ничего узнавать и пошёл к себе. ",a1,,213.3,,b1,No word level
кричал,закричал,1,1,E13,E17,e&a,1,1,VERB,VERB,кричать,закричать, - кричал Рогожин,— закричал радостно Рогожин. — А мне сказали они. ,b1,b1,147.3,65.1,b1,Word level equal to target CEFR
подымать,поднимать,1,1,E13,E17,e&a,1,1,VERB,VERB,подымать,поднимать,"Испуганный Минский кинулся ее подымать, и вдруг увидя в дверях старого смотрителя, оставил Дуню, и подошел к нему, дрожа от гнева. ","Испуганный Минский кинулся её поднимать, вдруг он увидел старого смотрителя, оставил Дуню и подошёл к нему. ",b1,,5.6,56.9,a2,No word level
промчаться,проехать,1,1,E13,E17,e&a,1,1,VERB,VERB,промчаться,проездить,"В эти минуты прощаю я и ложь и падение в грязную пропасть, готов простить всё для того, чтобы повторилась еще раз хотя бы частица прошлого. Утомленный городской скукой, я хотел бы еще раз послушать рев великана озера и промчаться по его берегу на моей Зорьке. Я простил и забыл бы всё, чтобы еще раз пройтись по теневской дороге и встретить садовника Франца с его водочным бочонком и жокейским картузиком. Бывают минуты, когда я готов даже пожать руку, обагренную кровью, и потолковать с благодушным Петром Егорычем о религии, урожае, народном образовании. Я хотел бы повидаться со «щуром», с его Наденькой. Жизнь бешеная, беспутная и беспокойная, как озеро в августовскую ночь. Много жертв скрылось навсегда под ее темными волнами. На дне лежит тяжелый осадок. Но за что я люблю ее в иные минуты? ","Как бы ему хотелось пройти по лесу с «девушкой в красном», опять увидеть и услышать огромное озеро и проехать по его берегу на его любимой лошади Зорьке. Ему также хотелось бы встретить доброго Урбенина и поговорить с ним о религии, о народном образовании, об урожае. Ещё он хотел бы встретиться с доктором Вознесенским и с его Наденькой. Но его жизнь, беспокойная и беспутная, как озеро в ту августовскую ночь, проходит! ",,,4.2,,b1,No word level
выслушивает,слушает,1,1,E13,E17,e&a,1,1,VERB,VERB,выслушивать,слушать,"Никого нельзя было легче обмануть, как ее в эту минуту, да и всякий в эту минуту как - то радостно выслушивает хоть какое бы то ни было утешение и рад - рад, коли есть хоть тень оправдания","Никого нельзя легче обмануть, как её в эту минуту, да и каждый в эту минуту как - то радостно слушает всё и радрад, если есть хоть маленькая надежда",b2,a1,12.1,239.5,b1,Word level lower than target CEFR
взбежал,поднялся,1,1,E13,E17,e&a,1,1,VERB,VERB,взбежать,подняться,"Германн взбежал по лестнице, отворил двери в переднюю и увидел слугу, спящего под лампою, в старинных, запачканных креслах. ","Германн поднялся по лестнице, открыл двери в коридор и увидел слугу, который спал под лампой, в старинном грязном кресле. ",,,2,136.2,b1,No word level
сочли,считали,1,1,E13,E17,e&a,1,1,VERB,VERB,счесть,считать,Вы забыли или не сочли нужным?,"Вы забыли или не считали, что это нужно? ",,b1,29.4,455.3,b1,Word level equal to target CEFR
Сорвав,Открыв,1,1,E13,E17,e&a,1,1,VERB,VERB,срыть,открыть,"Сорвав печать, он нашёл своё письмо и ответ Лизаветы Ивановны. ","Открыв конверт, он нашёл своё письмо и ответ Лизаветы Ивановны. ",,,,214.8,b1,No word level
они,дети,1,1,E13,E17,e&a,1,1,PRON,NOUN,они,ребенок,"Казалось они друг другу не очень нравились; по крайней мере Алексей уже не возвращался в Прилучино, а Лиза уходила в свою комнату всякой раз, как Иван Петрович удостоивал их своим посещением. ","Казалось, дети друг другу не очень нравились. ",a1,a1,4850,658.3,a2,Word level lower than target CEFR
прилечь,лечь,1,1,E13,E17,e&a,1,1,VERB,VERB,прилечь,лечь,"Это тот самый час, когда кончаются почти всякие дела, должности и обязательства и все спешат по домам пообедать, прилечь отдохнуть и тут же, в дороге, изобретают и другие веселые темы, касающиеся вечера, ночи и всего остающегося свободного времени. ","Это тот самый час, когда кончаются почти все дела и все спешат по домам пообедать, лечь отдохнуть и тут же, в дороге, придумывают и другие весёлые темы на вечер, ночь и все свободное время. ",,,5.5,63.5,b1,No word level
